t_step,wall_time_s,cmd_vx,cmd_vy,cmd_wz,act_vx,act_vy,act_wz,roll,pitch,abs_roll,abs_pitch,force_L,force_R,force
1812,36.755329847335815,0.5,0.0,0.0,0.31508421897888184,0.07306911051273346,0.008018925786018372,3.0847129821777344,0.0542173907160759,3.0847129821777344,0.0542173907160759,180.2984161376953,0.0,0.0
1813,36.78334999084473,0.5,0.0,0.0,0.3178817629814148,0.04385783523321152,0.07092588394880295,3.0880606174468994,0.054388098418712616,3.0880606174468994,0.054388098418712616,178.77513122558594,0.0,0.0
1814,36.79530358314514,0.5,0.0,0.0,0.320353239774704,0.016160152852535248,0.0765877515077591,3.092663049697876,0.052785713225603104,3.092663049697876,0.052785713225603104,179.8971405029297,0.0,0.0
1815,36.82225275039673,0.5,0.0,0.0,0.3236212432384491,-0.012281275354325771,0.0050813183188438416,3.0963194370269775,0.05085134506225586,3.0963194370269775,0.05085134506225586,187.25546264648438,0.0,0.0
1816,36.83365511894226,0.5,0.0,0.0,0.327983558177948,-0.03978665918111801,-0.1087956354022026,3.0967326164245605,0.04858929291367531,3.0967326164245605,0.04858929291367531,182.37310791015625,0.0,0.0
1817,36.862311124801636,0.5,0.0,0.0,0.33316728472709656,-0.07147226482629776,-0.1567363440990448,3.0941989421844482,0.04699978977441788,3.0941989421844482,0.04699978977441788,202.7425079345703,0.0,0.0
1818,36.87345242500305,0.5,0.0,0.0,0.34460800886154175,-0.10421114414930344,-0.07496240735054016,3.093137264251709,0.04714605212211609,3.093137264251709,0.04714605212211609,199.08334350585938,0.0,0.0
1819,36.89958190917969,0.5,0.0,0.0,0.3606942296028137,-0.13460366427898407,0.07366880774497986,3.0992445945739746,0.049583952873945236,3.0992445945739746,0.049583952873945236,176.54917907714844,0.0,0.0
1820,36.91048812866211,0.5,0.0,0.0,0.37477174401283264,-0.15373380482196808,-0.022634141147136688,3.113161563873291,0.0506695881485939,3.113161563873291,0.0506695881485939,121.0413589477539,132.3631134033203,0.0
1821,36.937954902648926,0.5,0.0,0.0,0.37947046756744385,-0.14472657442092896,-0.09803707897663116,3.128030776977539,0.04799655079841614,3.128030776977539,0.04799655079841614,22.085922241210938,162.45985412597656,0.0
1822,36.94940161705017,0.5,0.0,0.0,0.3709818124771118,-0.11137092858552933,-0.03682421147823334,3.1374621391296387,0.042010605335235596,3.1374621391296387,0.042010605335235596,0.0,178.97784423828125,0.0
1823,36.976938009262085,0.5,0.0,0.0,0.3710388243198395,-0.08240383118391037,0.03279053792357445,-3.1415789127349854,0.034831203520298004,3.1415789127349854,0.034831203520298004,0.0,183.0405731201172,0.0
1824,36.98828911781311,0.5,0.0,0.0,0.37894919514656067,-0.05695066973567009,0.09038063138723373,-3.13835072517395,0.02673889696598053,3.13835072517395,0.02673889696598053,0.0,202.02955627441406,0.0
1825,37.01595687866211,0.5,0.0,0.0,0.3887404203414917,-0.029587095603346825,0.17127659916877747,-3.1356911659240723,0.019480526447296143,3.1356911659240723,0.019480526447296143,0.0,214.7524871826172,0.0
1826,37.027130365371704,0.5,0.0,0.0,0.40021008253097534,-0.0009540779865346849,0.23950238525867462,-3.13370680809021,0.014807632192969322,3.13370680809021,0.014807632192969322,0.0,224.1688995361328,0.0
1827,37.05404877662659,0.5,0.0,0.0,0.40990960597991943,0.028305761516094208,0.25243163108825684,-3.1330416202545166,0.011014137417078018,3.1330416202545166,0.011014137417078018,0.0,224.3000946044922,0.0
1828,37.06510519981384,0.5,0.0,0.0,0.4163047969341278,0.05753421410918236,0.2179931104183197,-3.1348469257354736,0.008144254796206951,3.1348469257354736,0.008144254796206951,0.0,216.654541015625,0.0
1829,37.09243392944336,0.5,0.0,0.0,0.4267788529396057,0.08453568071126938,0.18652155995368958,-3.1401638984680176,0.006246940698474646,3.1401638984680176,0.006246940698474646,0.0,196.77197265625,26.641498565673828
1830,37.10339403152466,0.5,0.0,0.0,0.4216361343860626,0.10503938794136047,0.15507863461971283,3.136739492416382,0.002740753348916769,3.136739492416382,0.002740753348916769,0.0,174.32025146484375,26.641498565673828
1831,37.130467653274536,0.5,0.0,0.0,0.41316652297973633,0.12119771540164948,0.12188129872083664,3.1324548721313477,-0.0010970935691148043,3.1324548721313477,0.0010970935691148043,0.0,151.53135681152344,26.641498565673828
1832,37.1416597366333,0.5,0.0,0.0,0.37953945994377136,0.13667841255664825,0.11843413859605789,3.1302285194396973,-0.001085636904463172,3.1302285194396973,0.001085636904463172,125.29741668701172,127.47635650634766,26.641498565673828
1833,37.16877055168152,0.5,0.0,0.0,0.36142584681510925,0.11993768066167831,0.16531506180763245,3.130573034286499,-0.00153448770288378,3.130573034286499,0.00153448770288378,175.52920532226562,80.28298950195312,26.641498565673828
1834,37.17984318733215,0.5,0.0,0.0,0.3311940133571625,0.08770854771137238,0.11109659075737,3.133887529373169,0.0013619803357869387,3.133887529373169,0.0013619803357869387,197.84552001953125,18.22132682800293,26.641498565673828
1835,37.20795798301697,0.5,0.0,0.0,0.29623767733573914,0.047123733907938004,-0.03526126220822334,3.135291576385498,0.007559422869235277,3.135291576385498,0.007559422869235277,208.75868225097656,0.0,26.641498565673828
1836,37.21928095817566,0.5,0.0,0.0,0.2671758234500885,0.010963115841150284,-0.1670234650373459,3.1318819522857666,0.013733986765146255,3.1318819522857666,0.013733986765146255,185.69622802734375,0.0,26.641498565673828
1837,37.24681639671326,0.5,0.0,0.0,0.24219095706939697,-0.023654671385884285,-0.22149008512496948,3.125070810317993,0.018535375595092773,3.125070810317993,0.018535375595092773,194.0171661376953,0.0,26.641498565673828
1838,37.259316205978394,0.5,0.0,0.0,0.21983648836612701,-0.06055865064263344,-0.20400559902191162,3.120086431503296,0.02295544743537903,3.120086431503296,0.02295544743537903,195.68484497070312,0.0,26.641498565673828
1839,37.28787589073181,0.5,0.0,0.0,0.20090365409851074,-0.09767082333564758,-0.17426173388957977,3.118934392929077,0.026044145226478577,3.118934392929077,0.026044145226478577,199.2020263671875,0.0,0.0
1840,37.29922699928284,0.5,0.0,0.0,0.20273780822753906,-0.13115526735782623,-0.15143458545207977,3.120431900024414,0.029985817149281502,3.120431900024414,0.029985817149281502,201.31192016601562,0.0,0.0
1841,37.32693862915039,0.5,0.0,0.0,0.21010510623455048,-0.16419140994548798,-0.1810828596353531,3.121370315551758,0.03296574950218201,3.121370315551758,0.03296574950218201,192.41062927246094,0.0,0.0
1842,37.33816742897034,0.5,0.0,0.0,0.21808114647865295,-0.1937985122203827,-0.25256049633026123,3.120328426361084,0.03336675837635994,3.120328426361084,0.03336675837635994,165.35755920410156,0.0,0.0
1843,37.3650381565094,0.5,0.0,0.0,0.2256542593240738,-0.21931779384613037,-0.25112664699554443,3.116802930831909,0.03079410083591938,3.116802930831909,0.03079410083591938,156.34735107421875,0.0,0.0
